541	107	13	8.04
3058	109	4	10.17
120	179	29	10.93
106	805	11	7.62
1382	101	11	16.43
505	144	6	9.97
465	101	27	10.01
120	118	96	11.38
142	151	64	125.32
631	142	9	25.84
104	4547	3	7.59
130	1653	7	32.45
1348	146	3	7.11
977	179	8	42.29
1049	165	3	7.49
105	2668	4	6.79
149	776	5	12.14
12	185	152	221.81
245	1161	5	29.18
295	552	5	22.65
12	227	64	19.4
355	419	3	10.42
149	692	4	7
395	257	6	22.66
2	665	6	13.81
122	213	47	94.15
106	4444	3	8.48
2014	110	4	7.21
101	2378	6	8.96
207	108	38	10.48
1619	12	7	9.46
147	608	5	9.23
299	105	28	8.59
2354	128	3	9.31
1183	128	4	7.44
105	479	17	8.67
1397	106	8	11.41
117	840	9	21.38
1527	761	3	24.95
4673	110	3	11.91
222	544	4	14.42
918	9	5	11.51
140	927	5	11.3
4972	124	3	16.52
222	468	3	7.3
140	1062	4	8.7
257	228	7	17.57
2228	228	3	18
108	128	117	8.98
356	211	4	7.16
139	215	12	6.93
735	257	3	11.23
183	677	4	11.2
344	3150	3	24.24
106	1872	6	9.08
628	172	4	9.71
110	3419	3	7.71
2374	118	3	7.14
672	129	8	18.69
104	5362	3	7.59
852	176	6	23.83
797	241	3	11.08
124	640	6	7.59
189	444	5	13.03
105	3942	4	11.23
529	395	4	20.35
129	185	21	14.81
873	16	5	8.37
137	1658	4	13.07
9	3181	3	14.57
372	258	4	10.91
287	354	3	6.9
2824	5226	3	47.94
228	250	11	36.53
110	3298	3	7.71
500	469	3	14.32
171	4090	3	23.76
750	142	4	6.64
1001	176	3	8.51
676	4017	3	36.32
2794	101	5	7.47
1669	101	8	6.95
2066	480	6	63.21
2104	16	3	8.08
110	1875	5	10.16
206	579	3	6.85
1802	12	7	6.82
9	1972	3	8.83
232	452	5	17.15
928	302	3	14.6
128	771	8	18.9
2676	8	3	12.4
117	1856	4	10.49
2563	103	6	14.69
1881	110	4	7.21
104	955	11	8.43
324	161	8	13.72
146	203	12	6.65
314	522	3	10.89
1240	108	7	9.73
187	759	3	7.78
172	614	4	9.42
105	230	39	7.19
105	279	32	11.81
2180	110	4	7.21
4235	106	3	8.48
380	115	13	8.2
898	122	6	10.22
203	156	11	8.96
1488	101	9	8.22
4516	104	3	7.59
229	118	21	13.37
2756	2700	5	86.01
567	169	4	8.15
142	457	35	210.38
106	1059	8	6.85
2714	4195	3	47.94
203	236	13	36.22
156	132	26	11.41
1537	136	3	7.05
1509	102	7	6.96
8	1485	3	7.34
127	1061	5	11.98
152	194	12	7.96
220	548	3	7.7
2979	101	5	7.47
117	584	7	7.99
123	163	45	34.69
1003	101	14	8.92
152	265	9	11.18
12	2151	6	7.65
536	291	6	29.18
151	1843	3	10.45
106	4771	3	8.48
110	101	763	42.1
621	109	15	22.69
21	1138	12	60.6
2074	136	3	9.43
17	104	21	6.89
106	2856	4	6.86
122	1073	5	9.05
143	233	10	7.38
176	358	8	20.14
8	2098	3	9.74
1074	2058	4	45.56
127	553	7	11.84
111	2362	4	9.34
143	159	19	7.43
1139	2304	6	81.9
213	124	18	9.24
394	202	4	8.93
3858	117	3	11.38
101	130	300	28.62
1347	103	8	7.1
191	576	5	15.6
925	148	4	9.01
3016	130	5	29.83
102	963	12	12.19
114	106	386	47.28
213	1561	3	14.04
230	1350	3	13.95
103	112	474	48.59
106	1181	9	9.99
1203	112	8	17.36
115	906	8	12.2
103	157	102	7.68
101	1546	9	8.22
307	322	3	7.24
284	287	5	14.02
210	390	4	8.34
107	5226	3	9.76
108	982	10	17.48
5117	111	3	12.32
421	116	11	8.04
205	181	11	15.74
1689	156	4	16.89
256	199	6	9.37
598	550	3	16.03
231	113	23	6.92
2191	113	4	8.06
1617	16	4	10.15
57	611	5	7.6
248	647	3	10.36
194	282	6	10.31
3806	109	3	6.97
1820	140	3	8.7
3254	1825	3	45.11
14	559	30	8.18
165	3721	3	17.84
140	169	31	33.31
290	323	5	17.14
503	269	3	9.13
118	238	21	15.92
1	1442	3	14.41
102	4672	3	7.32
3132	101	5	7.47
318	181	7	14.46
1883	114	4	7
