465	101	5	4.55
631	142	5	33.7
149	776	4	28.09
12	185	139	815.89
138	423	3	13.59
101	2166	4	15.41
116	537	4	15.81
2137	14	6	28.85
788	112	3	11.58
257	228	7	53.09
145	278	7	37.75
101	1653	4	12.8
101	1805	3	7.62
115	151	8	7.19
672	129	3	15.63
161	485	4	26.19
102	204	16	24.81
873	16	3	17.07
103	742	3	5.73
1359	113	3	15.34
211	168	4	16.45
392	207	3	19.57
104	1038	3	8.07
104	955	4	12.13
1240	108	4	19.78
105	230	17	44.04
380	115	7	27.69
126	214	5	13.88
101	781	4	5.83
229	118	9	31.81
1634	101	3	7.62
123	163	28	129.29
259	113	3	4.05
621	109	3	8.73
110	300	6	15.55
176	358	7	51.46
143	159	3	4.24
213	124	4	8.75
101	200	22	22.74
191	576	5	42.13
3016	130	4	40.42
322	115	6	19.14
1203	112	8	58.76
263	103	6	5.73
484	14	6	5.78
101	1546	6	23.96
2474	14	3	9.27
205	181	6	31.3
57	611	5	32.97
650	109	3	8.95
290	149	3	11.93
118	113	45	90.95
915	126	4	25.44
1192	12	3	7.1
114	484	4	13.92
109	4795	3	27.03
130	523	8	55.07
136	103	30	23.66
101	1141	7	24.46
2496	108	3	18.46
190	182	9	52.53
101	1292	7	27.38
400	105	4	6.34
106	103	87	6.78
381	14	7	4.91
117	199	9	24.56
147	113	13	18.89
197	125	5	12.32
104	133	27	17.27
2	160	5	8.9
104	197	13	16.36
733	385	15	217.82
683	252	4	37.89
101	2892	3	11.98
106	144	13	4.14
933	102	6	22.53
137	220	7	28.51
420	109	10	44.75
2040	12	3	11.65
337	963	17	272.33
1772	14	3	6.48
1782	105	3	12.73
444	189	3	19.87
588	108	7	30.8
118	153	6	6.84
813	14	8	19.57
101	1295	3	5.86
103	401	15	56.43
106	1483	3	12.04
101	1192	5	13.46
103	573	3	4.53
2627	218	3	34.57
153	256	6	32.06
124	127	17	36.19
592	236	4	35.88
150	2955	3	30.1
114	149	8	6.18
2022	169	4	42.52
140	143	23	97.51
101	3742	3	14.11
109	171	16	34.38
533	105	4	8.89
659	14	5	6.03
104	429	18	81.37
9	126	6	5.73
439	21	3	13.09
583	14	5	4.86
