101	4333	12
313	2738	2
14	3137	3
3257	5492	0
103	1574	3
664	189	15
1780	9986	5
10417	710	0
118	4015	7
111	3932	5
1342	5633	3
118	9472	13
165	2247	3
3452	5430	5
103	2413	14
4668	6118	7
14	751	18
8613	7961	10
169	8907	16
106	7254	4
103	3172	12
727	1069	27
549	7888	19
253	6151	8
106	9303	26
130	3079	6
857	3234	6
198	9135	22
16	439	9
101	8588	1
8750	4652	1
20948	120	9
209	8054	11
115	3146	4
110	6744	21
18760	7036	2
2025	8349	3
101	1128	6
632	6017	9
12031	3091	6
112	3157	17
105	3690	20
14	4160	18
1666	6496	13
541	6700	11
111	1723	20
12109	8400	2
3526	9531	14
113	1361	4
102	3648	8
121	2345	7
667	9384	6
119	9799	3
108	6416	8
126	9142	4
5168	8862	4
101	4651	24
120	6026	4
22411	225	14
1137	5671	1
3871	2278	1
175	9406	18
14	5716	33
25158	2271	1
177	6526	2
778	1503	13
16070	9552	0
651	7801	13
4502	7253	12
106	885	9
12	1163	2
123	4177	0
161	9013	13
256	6776	16
694	8281	1
1699	7760	13
278	825	10
119	9921	21
103	3911	4
14	5449	16
4662	2743	14
3643	7860	15
4751	4866	14
587	4806	6
525	8215	12
101	7848	5
14	9284	7
103	5376	5
12798	6079	0
19123	280	10
7249	9809	3
155	5374	7
8755	9661	3
511	9720	10
314	20	6
1309	4480	12
121	2820	11
902	1480	5
212	3658	7
156	8757	14
512	8916	24
108	2451	16
109	6714	8
218	4128	9
2	7918	0
1214	4265	2
104	1056	7
382	7249	0
104	3841	2
105	906	3
190	4793	0
2142	9306	4
22712	8214	5
9	4693	8
12	1282	4
102	2404	6
120	8165	7
14569	1648	4
193	3420	6
14798	5408	6
14389	3606	8
179	3651	12
1914	3537	18
1638	2623	20
106	188	13
102	3306	6
106	5466	13
1181	2222	2
201	1638	2
14	6767	19
14	5760	20
172	823	4
116	2309	0
104	6915	10
947	7254	25
513	6490	4
136	8379	7
743	6218	3
14	9099	17
12	7308	1
12	1569	12
8542	3228	10
119	1956	2
101	8197	7
817	5091	8
104	3106	10
132	3848	9
166	9421	29
129	6633	26
109	3931	10
21	3272	5
119	1024	8
512	8210	12
12	9710	21
942	1424	32
128	792	14
14	9991	20
816	8391	14
109	8924	15
127	5269	4
205	9240	1
25752	4168	13
107	7152	1
817	4832	25
241	5847	0
108	5492	12
326	3543	12
14	739	19
147	7877	1
14544	5923	3
114	9290	9
15092	2227	27
109	2610	19
101	14	15
101	5708	5
711	9652	1
1506	8844	14
101	9806	2
164	3085	0
202	7688	18
102	7716	9
19215	9617	3
5758	1917	0
14	4520	27
145	1184	0
611	6722	0
22121	112	12
20898	1370	28
116	1704	0
202	1764	9
121	2241	14
119	495	7
105	201	16
7823	321	9
646	4800	3
15994	1493	8
211	3584	0
783	6997	0
125	3574	2
21893	7461	12
121	3407	14
126	2737	5
771	9985	12
760	4396	1
1036	922	7
101	9152	2
18458	2898	11
117	1164	4
498	4659	10
244	8881	8
106	6931	5
10	7688	29
126	8023	5
128	3284	1
12201	1144	6
